('the',):14518
('project',):94
('gutenberg',):89
('ebook',):13
('of',):7950
('ulysses',):9
(',',):15572
('by',):1243
('james',):36
('joyce',):3
('this',):479
('is',):1409
('for',):1890
('use',):50
('anyone',):20
('anywhere',):11
('in',):4798
('united',):20
('states',):19
('and',):6961
('most',):148
('other',):326
('parts',):22
('world',):152
('at',):1249
('no',):629
('cost',):11
('with',):2457
('almost',):33
('restrictions',):2
('whatsoever',):7
('.',):18624
('you',):2002
('may',):104
('copy',):21
('it',):2440
('give',):168
('away',):175
('or',):1008
('re',):112
('-',):280
('under',):228
('terms',):36
('license',):17
('included',):12
('online',):4
('<URL>',):10
('if',):546
('are',):532
('not',):884
('located',):10
('will',):353
('have',):673
('to',):4840
('check',):5
('laws',):16
('country',):54
('where',):317
('before',):214
('using',):8
('title',):7
(':',):2414
('author',):12
('release',):2
('date',):12
('december',):7
('<NUM>',):974
('[',):40
('<HASHTAG>',):1
(']',):40
('recently',):6
('updated',):2
('language',):46
('english',):29
('character',):27
('set',):62
('encoding',):1
('utf',):1
('produced',):18
('col',):2
('choat',):1
('david',):15
('widger',):1
('***',):4
('start',):16
('illustration',):4
('contents',):4
('—',):2280
('i',):2857
('ii',):2
('iii',):2
('stately',):3
('plump',):18
('buck',):107
('mulligan',):152
('came',):191
('from',):1060
('stairhead',):3
('bearing',):25
('a',):6300
('bowl',):14
('lather',):4
('on',):2040
('which',):507
('mirror',):43
('razor',):6
('lay',):66
('crossed',):25
('yellow',):47
('dressinggown',):1
('ungirdled',):2
('was',):2061
('sustained',):10
('gently',):36
('behind',):141
('him',):1469
('mild',):12
('morning',):114
('air',):111
('he',):4032
('held',):58
('aloft',):5
('intoned',):1
('_introibo',):2
('ad',):30
('altare',):2
('dei_',):1
('halted',):32
('peered',):12
('down',):431
('dark',):121
('winding',):10
('stairs',):18
('called',):86
('out',):864
('coarsely',):1
('come',):263
('up',):792
('kinch',):29
('!',):1451
('fearful',):2
('jesuit',):9
('faced',):4
('about',):525
('blessed',):38
('gravely',):21
('thrice',):4
('tower',):26
('surrounding',):2
('land',):80
('awaking',):2
('mountains',):6
('then',):549
('catching',):1
('sight',):31
('stephen',):547
('dedalus',):167
('bent',):37
('towards',):116
('made',):174
('rapid',):5
('crosses',):3
('gurgling',):4
('his',):3188
('throat',):17
('shaking',):12
('head',):215
('displeased',):2
('sleepy',):7
('leaned',):14
('arms',):85
('top',):33
('staircase',):16
('looked',):104
('coldly',):5
('face',):222
('that',):2687
('equine',):4
('its',):292
('length',):10
('light',):108
('untonsured',):1
('hair',):114
('grained',):1
('hued',):1
('like',):707
('pale',):16
('oak',):5
('peeped',):3
('an',):632
('instant',):36
('covered',):20
('smartly',):7
('back',):344
('barracks',):5
('added',):37
('preacher',):2
('’',):4277
('s',):2706
('tone',):26
('o',):560
('dearly',):2
('beloved',):5
('genuine',):7
('christine',):1
('body',):66
('soul',):67
('blood',):48
('ouns',):2
('slow',):33
('music',):70
('please',):47
('shut',):31
('your',):483
('eyes',):314
('gents',):4
('one',):708
('moment',):86
('little',):277
('trouble',):36
('those',):307
('white',):151
('corpuscles',):1
('silence',):35
('all',):1287
('sideways',):23
('gave',):119
('long',):236
('whistle',):14
('call',):112
('paused',):6
('awhile',):15
('rapt',):4
('attention',):29
('even',):123
('teeth',):44
('glistening',):6
('here',):271
('there',):755
('gold',):87
('points',):44
('chrysostomos',):2
('two',):375
('strong',):30
('shrill',):8
('whistles',):3
('answered',):64
('through',):240
('calm',):11
('thanks',):44
('old',):478
('chap',):57
('cried',):77
('briskly',):8
('do',):428
('nicely',):7
('switch',):3
('off',):360
('current',):6
('?',):2030
('skipped',):2
('gunrest',):3
('watcher',):3
('gathering',):9
('legs',):29
('loose',):28
('folds',):6
('gown',):11
('shadowed',):3
('sullen',):2
('oval',):8
('jowl',):2
('recalled',):2
('prelate',):1
('patron',):5
('arts',):8
('middle',):31
('ages',):16
('pleasant',):19
('smile',):40
('broke',):28
('quietly',):33
('over',):418
('lips',):85
('said',):1135
('gaily',):13
('absurd',):7
('name',):211
('ancient',):32
('greek',):21
('pointed',):16
('finger',):34
('friendly',):11
('jest',):6
('went',):177
('parapet',):9
('laughing',):57
('himself',):211
('stepped',):17
('followed',):53
('wearily',):2
('halfway',):2
('sat',):40
('edge',):13
('watching',):22
('still',):192
('as',):1151
('propped',):5
('dipped',):5
('brush',):10
('lathered',):2
('cheeks',):18
('neck',):47
('gay',):19
('voice',):170
('my',):805
('too',):431
('malachi',):27
('dactyls',):1
('but',):661
('has',):283
('hellenic',):2
('ring',):31
('hasn',):7
('t',):636
('tripping',):5
('sunny',):4
('we',):462
('must',):223
('go',):226
('athens',):1
('can',):267
('get',):250
('aunt',):19
('fork',):14
('twenty',):29
('quid',):21
('laid',):50
('aside',):32
('delight',):12
('jejune',):1
('ceasing',):2
('began',):48
('shave',):7
('care',):43
('tell',):163
('me',):908
('yes',):332
('love',):167
('how',):276
('haines',):61
('going',):191
('stay',):14
('showed',):20
('shaven',):5
('cheek',):20
('right',):235
('shoulder',):32
('god',):230
('isn',):27
('dreadful',):10
('frankly',):5
('ponderous',):4
('saxon',):6
('thinks',):24
('gentleman',):87
('these',):98
('bloody',):101
('because',):208
('comes',):59
('oxford',):9
('know',):311
('real',):32
('manner',):24
('make',):168
('best',):127
('knife',):26
('blade',):11
('shaved',):4
('warily',):5
('chin',):12
('raving',):2
('night',):229
('black',):134
('panther',):6
('guncase',):1
('woful',):2
('lunatic',):5
('were',):488
('funk',):2
('energy',):5
('growing',):7
('fear',):34
('saved',):17
('men',):147
('drowning',):11
('m',):266
('hero',):15
('however',):45
('stays',):11
('am',):156
('frowned',):9
('razorblade',):3
('hopped',):1
('perch',):4
('search',):11
('trouser',):5
('pockets',):26
('hastily',):4
('scutter',):1
('thickly',):3
('thrusting',):2
('hand',):294
('into',):315
('upper',):20
('pocket',):73
('lend',):10
('us',):246
('loan',):4
('noserag',):2
('wipe',):6
('suffered',):9
('pull',):20
('hold',):53
('show',):74
('corner',):83
('dirty',):22
('crumpled',):7
('handkerchief',):23
('wiped',):11
('neatly',):9
('gazing',):7
('bard',):9
('new',):150
('art',):49
('colour',):24
('our',):272
('irish',):108
('poets',):10
('snotgreen',):3
('taste',):18
('mounted',):3
('again',):240
('gazed',):25
('dublin',):122
('bay',):25
('fair',):53
('oakpale',):1
('stirring',):4
('slightly',):18
('sea',):99
('what',):921
('algy',):2
('calls',):43
('great',):126
('sweet',):70
('mother',):137
('scrotumtightening',):1
('_epi',):2
('oinopa',):2
('ponton_',):2
('ah',):74
('greeks',):7
('read',):119
('them',):646
('original',):20
('_thalatta',):1
('thalatta',):1
('_',):2592
('she',):1129
('look',):188
('stood',):84
('leaning',):11
('water',):121
('mailboat',):4
('clearing',):3
('harbourmouth',):1
('kingstown',):6
('mighty',):12
('turned',):130
('abruptly',):7
('grey',):67
('searching',):3
('why',):168
('won',):68
('let',):199
('anything',):87
('someone',):45
('killed',):18
('her',):1722
('gloomily',):2
('could',):297
('knelt',):11
('damn',):43
('when',):533
('dying',):33
('asked',):167
('hyperborean',):1
('much',):156
('think',):141
('begging',):5
('last',):175
('breath',):57
('kneel',):10
('pray',):34
('refused',):3
('something',):171
('sinister',):5
('....',):5
('lightly',):21
('farther',):18
('tolerant',):1
('curled',):6
('lovely',):75
('mummer',):5
('murmured',):10
('loveliest',):1
('evenly',):3
('seriously',):6
('elbow',):14
('rested',):8
('jagged',):1
('granite',):3
('palm',):16
('against',):127
('brow',):23
('fraying',):1
('shiny',):5
('coat',):29
('sleeve',):10
